time,latitude,longitude,adt,ice_extent,ice_missing
16081.0,24.20580291748047,-88.7514419555664,0.3051489866025421,14.515,0.0
16082.0,24.20580291748047,-88.7514419555664,0.3055057883888698,14.58,0.0
16083.0,24.20580291748047,-88.7514419555664,0.3054815355547922,14.595,0.0
16084.0,24.20580291748047,-88.7514419555664,0.305132720714531,14.617,0.0
16085.0,24.20580291748047,-88.7514419555664,0.304500180350395,14.685,0.0
16086.0,24.20580291748047,-88.7514419555664,0.3035840948127791,14.757,0.0
16087.0,24.20580291748047,-88.7514419555664,0.3023373926485744,14.807,0.0
16088.0,24.20580291748047,-88.7514419555664,0.3006704998282377,14.895,0.0
16089.0,24.20580291748047,-88.7514419555664,0.2984736516660942,14.865,0.0
16090.0,24.20580291748047,-88.7514419555664,0.2956996307110958,14.894,0.0
16091.0,24.20580291748047,-88.7514419555664,0.2923763569220199,14.948,0.0
16092.0,24.20580291748047,-88.7514419555664,0.2886993387152181,14.933,0.0
16093.0,24.20580291748047,-88.7514419555664,0.2849617141875644,15.021,0.0
16094.0,24.20580291748047,-88.7514419555664,0.2815215475781518,15.054,0.0
16095.0,24.20580291748047,-88.7514419555664,0.2787266746822398,15.089,0.0
16096.0,24.20580291748047,-88.7514419555664,0.276850515286843,15.141,0.0
16097.0,24.20580291748047,-88.7514419555664,0.2760469598076263,15.255,0.0
16098.0,24.20580291748047,-88.7514419555664,0.2763364221916867,15.299,0.0
16099.0,24.20580291748047,-88.7514419555664,0.2775844984541395,15.359,0.0
16100.0,24.20580291748047,-88.7514419555664,0.2795377104087942,15.4,0.0
16101.0,24.20580291748047,-88.7514419555664,0.2819067244933013,15.397,0.0
16102.0,24.20580291748047,-88.7514419555664,0.2843137667468224,15.409,0.0
16103.0,24.20580291748047,-88.7514419555664,0.286375352112676,15.42,0.0
16104.0,24.20580291748047,-88.7514419555664,0.2877865681896255,15.438,0.0
16105.0,24.20580291748047,-88.7514419555664,0.2883706028856063,15.429,0.0
16106.0,24.20580291748047,-88.7514419555664,0.288129809343868,15.479,0.0
16107.0,24.20580291748047,-88.7514419555664,0.287142631398145,15.515,0.0
16108.0,24.20580291748047,-88.7514419555664,0.2856163603572655,15.474,0.0
16109.0,24.20580291748047,-88.7514419555664,0.2839242528340776,15.521,0.0
16110.0,24.20580291748047,-88.7514419555664,0.2825623840604603,15.46,0.0
16111.0,24.20580291748047,-88.7514419555664,0.2820267863277224,15.525,0.0
16112.0,24.20580291748047,-88.7514419555664,0.2826960838199931,15.539,0.0
16113.0,24.20580291748047,-88.7514419555664,0.2847154500171762,15.541,0.0
16114.0,24.20580291748047,-88.7514419555664,0.2879481535554792,15.549,0.0
16115.0,24.20580291748047,-88.7514419555664,0.2920235743730677,15.579,0.0
16116.0,24.20580291748047,-88.7514419555664,0.2964222861559601,15.492,0.0
16117.0,24.20580291748047,-88.7514419555664,0.3005459292339402,15.507,0.0
16118.0,24.20580291748047,-88.7514419555664,0.3039252490553074,15.549,0.0
16119.0,24.20580291748047,-88.7514419555664,0.3063696238406046,15.581,0.0
16120.0,24.20580291748047,-88.7514419555664,0.3079728615596015,15.624,0.0
16121.0,24.20580291748047,-88.7514419555664,0.3090037186533838,15.701,0.0
16122.0,24.20580291748047,-88.7514419555664,0.3097496994160083,15.77,0.0
16123.0,24.20580291748047,-88.7514419555664,0.3104202507729303,15.738,0.0
16124.0,24.20580291748047,-88.7514419555664,0.311045714531089,15.686,0.0
16125.0,24.20580291748047,-88.7514419555664,0.3114460924081072,15.682,0.0
16126.0,24.20580291748047,-88.7514419555664,0.311200515286843,15.613,0.0
16127.0,24.20580291748047,-88.7514419555664,0.3099108725523875,15.592,0.0
16128.0,24.20580291748047,-88.7514419555664,0.3074184730333219,15.641,0.0
16129.0,24.20580291748047,-88.7514419555664,0.3038547406389557,15.679,0.0
16130.0,24.20580291748047,-88.7514419555664,0.2996293455857094,15.675,0.0
16131.0,24.20580291748047,-88.7514419555664,0.2953438594984541,15.765,0.0
16132.0,24.20580291748047,-88.7514419555664,0.291605496392992,15.729,0.0
16133.0,24.20580291748047,-88.7514419555664,0.2888633888698042,15.735,0.0
16134.0,24.20580291748047,-88.7514419555664,0.2872998454139471,15.711,0.0
16135.0,24.20580291748047,-88.7514419555664,0.2867580814153213,15.658,0.0
16136.0,24.20580291748047,-88.7514419555664,0.2867164032978358,15.634,0.0
16137.0,24.20580291748047,-88.7514419555664,0.2865672363448987,15.601,0.0
16138.0,24.20580291748047,-88.7514419555664,0.2858299038131226,15.491,0.0
16139.0,24.20580291748047,-88.7514419555664,0.2842480075575403,15.502,0.0
16140.0,24.20580291748047,-88.7514419555664,0.2818177602198558,15.55,0.0
16141.0,24.20580291748047,-88.7514419555664,0.2787795345242185,15.521,0.0
16142.0,24.20580291748047,-88.7514419555664,0.2755096444520783,15.559,0.0
16143.0,24.20580291748047,-88.7514419555664,0.2724037959464102,15.589,0.0
16144.0,24.20580291748047,-88.7514419555664,0.2697376502919959,15.607,0.0
16145.0,24.20580291748047,-88.7514419555664,0.2675795860529028,15.562,0.0
16146.0,24.20580291748047,-88.7514419555664,0.2658221315699072,15.498,0.0
16147.0,24.20580291748047,-88.7514419555664,0.26419520783236,15.475,0.0
16148.0,24.20580291748047,-88.7514419555664,0.262400352112676,15.45,0.0
16149.0,24.20580291748047,-88.7514419555664,0.260240072140158,15.368,0.0
16150.0,24.20580291748047,-88.7514419555664,0.2577309000343525,15.399,0.0
16151.0,24.20580291748047,-88.7514419555664,0.2551021642047406,15.399,0.0
16152.0,24.20580291748047,-88.7514419555664,0.2527758072827207,15.502,0.0
16153.0,24.20580291748047,-88.7514419555664,0.2512653297835795,15.543,0.0
16154.0,24.20580291748047,-88.7514419555664,0.2510023273789076,15.494,0.0
16155.0,24.20580291748047,-88.7514419555664,0.2522069391961525,15.523,0.0
16156.0,24.20580291748047,-88.7514419555664,0.2548763998625901,15.553,0.0
